ROUTE,flights_count,avg_arrival_delay,median_arrival_delay,cancel_rate,diverted_rate,avg_distance,cluster
ATL-AUS,59,3.6779661016949152,-8.0,0.0,0.0,1306.1887571886366,0
ATL-AVL,30,9.642857142857142,-6.0,0.06666666666666667,0.0,263.96976193505265,0
ATL-AVP,7,-1.7142857142857142,-4.0,0.0,0.0,1148.6231767300767,0
ATL-BDL,39,-5.948717948717949,-8.0,0.0,0.0,1381.9440149711472,0
ATL-BHM,44,-0.16279069767441862,-5.0,0.022727272727272728,0.0,215.64620603519316,0
ATL-BMI,13,10.76923076923077,1.0,0.0,0.0,858.0126216907798,0
ATL-BNA,61,0.09836065573770492,-6.0,0.0,0.0,344.1567284470213,0
ATL-BOS,97,1.1578947368421053,-8.0,0.020618556701030927,0.0,1521.1942309297106,0
ATL-BQK,10,-7.9,-6.5,0.0,0.0,383.7522132371663,0
ATL-BTR,44,1.1395348837209303,-8.0,0.022727272727272728,0.0,721.2174949195326,0
ATL-BUF,23,-5.434782608695652,-6.0,0.0,0.0,1146.6421991348034,0
ATL-BWI,118,2.5555555555555554,-8.0,0.0,0.00847457627118644,927.1717777387967,0
ATL-CAE,39,9.512820512820513,-2.0,0.0,0.0,307.42680153883055,0
ATL-CAK,32,-2.28125,-7.0,0.0,0.0,850.8880935136683,0
ATL-CHA,49,7.73469387755102,-4.0,0.0,0.0,170.711462193071,0
ATL-CHO,16,4.6875,0.0,0.0,0.0,734.3928287706536,0
ATL-CHS,54,-3.4423076923076925,-6.5,0.037037037037037035,0.0,416.02846448171414,0
ATL-CID,15,11.642857142857142,-8.0,0.0,0.06666666666666667,1117.2045644836912,1
ATL-CLE,51,7.0,-7.0,0.0,0.0,893.308606686125,0
ATL-CLT,121,3.125,-7.0,0.008264462809917356,0.0,364.2657082589417,0
ATL-CMH,69,4.028985507246377,-5.0,0.0,0.0,719.9762418220371,0
ATL-COS,6,-1.3333333333333333,-5.5,0.0,0.0,1902.408277969101,0
ATL-CRW,18,4.111111111111111,-0.5,0.0,0.0,584.6499528876948,0
ATL-CSG,21,12.095238095238095,-4.0,0.0,0.0,133.78593362573622,0
ATL-CVG,36,4.333333333333333,-3.0,0.0,0.0,601.4548143875987,0
ATL-DAB,14,-8.285714285714286,-8.5,0.0,0.0,589.9989373427628,0
ATL-DAL,43,1.4285714285714286,-12.5,0.023255813953488372,0.0,1158.1377045340887,0
ATL-DAY,16,-3.0625,-5.0,0.0,0.0,696.540693761032,0
ATL-DCA,91,0.4044943820224719,-8.0,0.02197802197802198,0.0,879.7268814968404,0
ATL-DEN,86,11.244186046511627,-5.0,0.0,0.0,1925.9379143331498,0
ATL-DFW,109,1.2523364485981308,-8.0,0.01834862385321101,0.0,1174.581306317355,0
ATL-DHN,19,10.947368421052632,0.0,0.0,0.0,275.13194622641856,0
ATL-DSM,12,-9.25,-6.5,0.0,0.0,1195.4506012131797,0
ATL-DTW,91,2.4175824175824174,-4.0,0.0,0.0,957.7753197779253,0
ATL-ELP,21,5.285714285714286,-9.0,0.0,0.0,2059.6534456651784,0
ATL-EVV,15,-4.6,-6.0,0.0,0.0,563.2704771446968,0
ATL-EWN,12,11.583333333333334,6.0,0.0,0.0,696.0992081929277,0
ATL-EWR,91,8.055555555555555,-10.0,0.01098901098901099,0.0,1198.9535958299882,0
ATL-EYW,21,1.25,-4.5,0.0,0.047619047619047616,1042.716158694576,1
ATL-FAY,19,8.368421052631579,0.0,0.0,0.0,531.0345809951175,0
ATL-FLL,108,2.9537037037037037,-3.0,0.0,0.0,936.7619988694591,0
ATL-FNT,13,-1.7692307692307692,-2.0,0.0,0.0,1038.602253443385,0
